,id,sum,male,female,long,lat
종로구,11110,153684,74018,79666,126.9773213,37.59491732
중구,11140,131450,63869,67581,126.9959681,37.56014356
용산구,11170,236518,114571,121947,126.979907,37.53138497
성동구,11200,291609,141662,149947,127.0410585,37.55102969
광진구,11215,353110,169525,183585,127.0857435,37.54670608
동대문구,11230,352592,172318,180274,127.0548481,37.58195655
중랑구,11260,393600,193623,199977,127.0928803,37.59780259
성북구,11290,442680,212277,230403,127.0175795,37.6057019
강북구,11305,300824,145934,154890,127.011189,37.64347391
도봉구,11320,318100,154440,163660,127.0323688,37.66910208
노원구,11350,514445,247417,267028,127.0750347,37.65251105
은평구,11380,476013,227172,248841,126.9270229,37.61921128
서대문구,11410,317075,149805,167270,126.9390631,37.57778531
마포구,11440,378629,176886,201743,126.90827,37.55931349
양천구,11470,449378,219882,229496,126.8554777,37.52478941
강서구,11500,578426,277797,300629,126.822807,37.56123543
구로구,11530,419984,208027,211957,126.8563006,37.49440543
금천구,11545,244901,123959,120942,126.9008202,37.46056756
영등포구,11560,400241,198080,202161,126.9101695,37.52230829
동작구,11590,394649,190377,204272,126.9516415,37.49887688
관악구,11620,500336,250450,249886,126.9453372,37.46737569
서초구,11650,413677,197665,216012,127.0312203,37.47329547
강남구,11680,537338,257096,280242,127.0629852,37.49664389
송파구,11710,668261,321963,346298,127.115295,37.50561924
강동구,11740,465097,227891,237206,127.1470118,37.55045024
